City_ID,City,Country,MaxTemp,Current Description,Lat,Lng,Hotel Name
1,Sompeta,IN,82.04,overcast clouds,18.9333,84.6,బెంకిలి భైరొడమ్మ క్రికెట్ గ్రౌండ్
2,Hithadhoo,MV,80.08,broken clouds,-0.6,73.0833,Scoop Guest House
3,Katsuura,JP,82.22,overcast clouds,35.1333,140.3,Katsuura Hotel Mikazuki
4,Nanton,CA,80.33,few clouds,50.3501,-113.7687,Changing Seasons Bed and Breakfast
5,Butaritari,KI,82.13,overcast clouds,3.0707,172.7902,Isles Sunset Lodge
6,Kieta,PG,82.49,light rain,-6.2167,155.6333,Uruna Bay Retreat
7,Kapaa,US,84.52,scattered clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
8,Rapar,IN,81.82,broken clouds,23.5667,70.6333,Dharamshi Bapa’s Home
9,Merta,IN,84.06,overcast clouds,26.65,74.0333,V Resorts Ganthiya
10,Naze,JP,81.52,broken clouds,28.3667,129.4833,Shishime Hotel
11,Lorengau,PG,82.42,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
12,Surman,LY,82.81,clear sky,32.7567,12.5716,عمارة السفير
13,Hasaki,JP,84.29,overcast clouds,35.7333,140.8333,Inubosaki Kanko Hotel
14,Dhidhdhoo,MV,80.89,overcast clouds,6.8833,73.1,Dhidhoo beach
15,Kathu,TH,84.74,overcast clouds,7.9178,98.3332,Novotel Phuket Resort
16,Gat,IL,83.39,clear sky,31.61,34.7642,OlusHome
17,Talagang,PK,83.61,broken clouds,32.9297,72.4158,Sajid Iqbal Manzil
18,Assiniboia,CA,82.22,clear sky,49.6334,-105.9845,Canalta Hotel Assiniboia
19,Muroto,JP,81.5,broken clouds,33.2833,134.15,Oota Ryokan
20,San Ignacio,BZ,80.74,clear sky,17.1561,-89.0714,Rainforest Haven Inn
21,Tiarei,PF,80.62,clear sky,-17.5333,-149.3333,Le Rocher de Tahiti
22,Sulangan,PH,82.81,scattered clouds,11.1373,123.7228,Maia's Beach Resort
