City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,Current Description
0,Vaini,-21.2,-175.2,75.36,83,73,22.06,TO,2022-08-02 21:05:34,broken clouds
1,Tres Passos,-27.4556,-53.9319,69.12,81,43,4.21,BR,2022-08-02 21:10:25,scattered clouds
2,Rikitea,-23.1203,-134.9692,72.14,77,83,21.72,PF,2022-08-02 21:02:47,light rain
3,Cape Town,-33.9258,18.4232,56.91,89,8,8.01,ZA,2022-08-02 21:05:28,clear sky
4,Torbay,47.6666,-52.7314,75.88,67,73,3.0,CA,2022-08-02 21:10:25,broken clouds
5,Bredasdorp,-34.5322,20.0403,49.96,85,53,2.44,ZA,2022-08-02 21:10:26,broken clouds
6,Rawson,-43.3002,-65.1023,48.54,49,0,10.09,AR,2022-08-02 21:10:26,clear sky
7,Avarua,-21.2078,-159.775,77.05,50,75,12.66,CK,2022-08-02 21:04:38,broken clouds
8,Puerto Ayora,-0.7393,-90.3518,72.55,82,56,10.0,EC,2022-08-02 21:02:40,broken clouds
9,Marawi,7.9986,124.2928,67.37,92,74,2.84,PH,2022-08-02 21:10:27,broken clouds
10,Eydhafushi,5.1033,73.0708,81.01,75,100,22.1,MV,2022-08-02 21:10:27,overcast clouds
11,Esperance,-33.8667,121.9,50.7,66,36,33.04,AU,2022-08-02 21:05:38,scattered clouds
12,Port Elizabeth,-33.918,25.5701,55.31,83,2,1.99,ZA,2022-08-02 21:10:28,clear sky
13,Butaritari,3.0707,172.7902,81.82,76,99,16.73,KI,2022-08-02 21:07:20,overcast clouds
14,Dikson,73.5069,80.5464,42.71,87,72,7.83,RU,2022-08-02 21:04:40,broken clouds
15,Itarema,-2.9248,-39.9167,78.69,80,42,14.97,BR,2022-08-02 21:10:28,scattered clouds
16,Upernavik,72.7868,-56.1549,45.93,73,93,6.8,GL,2022-08-02 21:04:41,overcast clouds
17,Ushuaia,-54.8,-68.3,36.68,99,100,4.92,AR,2022-08-02 21:00:28,light rain
18,Kapaa,22.0752,-159.319,84.52,66,75,14.97,US,2022-08-02 21:04:34,broken clouds
19,Linxia,35.6003,103.2064,65.53,82,41,3.22,CN,2022-08-02 21:10:29,scattered clouds
20,Yellowknife,62.456,-114.3525,63.57,42,11,8.9,CA,2022-08-02 21:05:26,few clouds
21,Makarska,43.2969,17.0178,77.04,57,11,10.54,HR,2022-08-02 21:10:29,few clouds
22,Hermanus,-34.4187,19.2345,49.8,78,14,1.59,ZA,2022-08-02 21:05:36,few clouds
23,Sawakin,19.1059,37.3321,93.7,44,100,11.5,SD,2022-08-02 21:10:30,overcast clouds
24,Vila,42.0304,-8.1588,69.69,72,0,1.19,PT,2022-08-02 21:10:30,clear sky
25,New Norfolk,-42.7826,147.0587,51.93,77,100,3.0,AU,2022-08-02 21:07:16,overcast clouds
26,Hobart,-42.8794,147.3294,52.27,74,75,13.8,AU,2022-08-02 21:09:34,broken clouds
